,0
1413,PNLIP
1414,PNLIPRP1
1415,PNLIPRP2
1416,PNMT
1417,NANS
1418,HAO1
1419,SLC38A2
1420,PON3
1421,CHPF2
1422,UGT2B28
1423,HMGCLL1
1424,NDUFB11
1425,UGT1A10
1426,UGT1A8
1427,UGT1A7
1428,UGT1A6
1429,UGT1A5
1430,UGT1A9
1431,PPA1
1432,UGT1A4
1433,UGT1A1
1434,UGT1A3
1435,CRLS1
1436,CROT
1437,MANSC1
1438,SLC6A20
1439,PPAT
1440,CTSA
1441,CKMT1A
1442,PIGG
1443,ELOVL2
1444,WHSC1L1
1445,UCKL1
1446,PIGX
1447,NMRK1
1448,ACSM5
1449,PPOX
1450,OXSM
1451,AUH
1452,ACP5
1453,SLC52A1
1454,PDPR
1455,SLC38A4
1456,PNPO
1457,NADSYN1
1458,TMLHE
1459,ETNK2
1460,PANK4
1461,SLC47A1
1462,ADI1
1463,ECHDC2
1464,PGM2
1465,FGGY
1466,UEVLD
1467,SPTLC3
1468,RFK
1469,SLC29A3
1470,AGPAT5
1471,ACER3
1472,SLC35C1
1473,CHDH
1474,VNN3
1475,VNN3
1476,VNN3
1477,PI4K2A
1478,PPT1
1479,CSGALNACT2
1480,ETNK1
1481,CHST12
1482,SMPD3
1483,SMPD3
1484,GALNT10
1485,GALNT10
1486,NAGK
1487,MIOX
1488,MTMR8
1489,POMGNT1
1490,SMPD4
1491,PIGV
1492,CNDP2
1493,AGK
1494,UGGT2
1495,CSGALNACT1
1496,ST6GALNAC1
1497,ADCY10
1498,PECR
1499,GLT8D1
1500,ACOT13
1501,SLC22A11
1502,ASH1L
1503,ACSS2
1504,ACSS2
1505,KMT2E
1506,CMAS
1507,NDUFA12
1508,ACPP
1509,PRODH
1510,GPCPD1
1511,SLC7A10
1512,PRPS1
1513,PRPS2
1514,CTPS2
1515,CHST7
1516,SLC2A9
1517,SLC2A9
1518,PSAP
1519,INPP5E
1520,ASAH2
1521,SPHK2
1522,UGGT1
1523,AGPAT3
1524,AGPAT3
1525,AGPAT4
1526,BDH2
1527,C1GALT1
1528,MCCC1
1529,NT5M
1530,NIT2
1531,POGLUT1
1532,CHPT1
1533,AKR1B10
1534,PDXP
1535,SLC17A7
1536,SLC17A6
1537,CPA6
1538,BAAT
1539,PNPLA2
1540,RHBG
1541,DOLPP1
1542,ATP10A
1543,ATP8B2
1544,PSPH
1545,SLC4A10
1546,PTEN
1547,PTGDS
1548,AICDA
1549,TMEM27
1550,PTGIS
1551,SLC24A3
1552,PTGS1
1553,PTGS2
1554,SLC12A5
1555,CARNS1
1556,RDH14
1557,GPAM
1558,GBA2
1559,G6PC2
1560,CYP4F11
1561,SLC4A5
1562,SLC4A5
1563,SLC4A5
1564,SLC4A5
1565,PTS
1566,ABCD3
1567,PYCR1
1568,PYCR1
1569,ALDH18A1
1570,PCYT2
1571,PYGB
1572,PYGL
1573,PYGM
1574,ENOPH1
1575,KMT2C
1576,PRODH2
1577,QDPR
1578,BCAT1
1579,BCAT2
1580,BCHE
1581,ACE2
1582,BCKDHA
1583,RBP1
1584,RBP2
1585,BCKDHB
1586,BCKDHB
1587,RBP4
1588,RDH5
1589,RENBP
1590,RHAG
1591,SLC25A19
1592,ELOVL5
1593,SLC5A7
1594,PPCDC
1595,SPCS3
1596,RPE
1597,RPE
1598,BDH1
1599,BDH1
1600,BDH1
1601,RRM1
1602,RRM2
1603,ACSM3
1604,SAT1
1605,MSMO1
1606,SC5D
1607,SCD
1608,SCP2
1609,BHMT
1610,SDHA
1611,SDHB
1612,GALNT11
1613,SDHC
1614,SDHD
1615,OXCT2
1616,LHPP
1617,SLC28A3
1618,RBKS
1619,MCCC2
1620,FN3K
1621,XYLT1
1622,XYLT2
1623,ACOT1
1624,ACOT6
1625,TMEM91
1626,DPEP2
1627,DPEP3
1628,SETMAR
1629,STRA6
1630,ABCG5
1631,ABCG8
1632,NSD1
1633,MTMR14
1634,
1635,SGSH
1636,ALG1L2
1637,TPSB2
1638,BLVRA
1639,
1640,NDST4
1641,BLVRB
1642,PLA2G2F
1643,FABP9
1644,FABP12
1645,SHMT1
1646,SHMT1
1647,HS3ST6
1648,SHMT2
1649,PLPPR2
1650,SMYD3
1651,SI
1652,CERK
1653,CERK
1654,NMNAT1
1655,CYP3A43
1656,CYP3A43
1657,CYP3A43
1658,ST3GAL1
1659,ST3GAL1
1660,ELOVL1
1661,ST3GAL2
1662,GNPNAT1
1663,SLC13A3
1664,SLC13A3
1665,ST3GAL4
1666,ETNPPL
1667,ST3GAL3
1668,ST3GAL3
1669,ST3GAL3
1670,ST3GAL3
1671,ST3GAL3
1672,ST3GAL3
1673,ST3GAL3
1674,ST3GAL3
1675,ST3GAL3
1676,ST3GAL3
1677,ST3GAL3
1678,ST8SIA1
