,metabolites
1226,bandmt
1227,betald
1228,bglc
1229,bgly
1230,bhb
1231,bildglcur
1232,bilglcur
1233,bilirub
1234,biliverd
1235,biocyt
1236,btamp
1237,btcoa
1238,btn
1239,but
1240,bvite
1241,bz
1242,bzcoa
1243,c101coa
1244,c101crn
1245,c10crn
1246,c10dc
1247,c12dc
1248,c12dccoa
1249,c14dccoa
1250,c16dc
1251,c226coa
1252,c226crn
1253,c3dc
1254,c4crn
1255,c4dc
1256,c51crn
1257,c5dc
1258,c6crn
1259,c6dc
1260,c81coa
1261,c81crn
1262,c8crn
1263,c8dc
1264,ca2
1265,ca24g
1266,ca3s
1267,cala
1268,camp
1269,caproic
1270,caribup__R
1271,caribup_s
1272,caribupglu__S
1273,carn
1274,caro
1275,carveol
1276,cbasp
1277,cbl2
1278,cbp
1279,cdca24g
1280,cdca3g
1281,cdp
1282,cdpchol
1283,cdpdag_hs
1284,cdpea
1285,cgly
1286,chlstol
1287,chol
1288,cholate
1289,cholcoa
1290,cholcoads
1291,cholcoaone
1292,cholcoar
1293,cholcoas
1294,cholp
1295,chsterol
1296,chsterols
1297,chtn
1298,cit
1299,citmcoa__L
1300,citr__L
1301,cl
1302,clpn_hs
1303,clpnd
1304,clpndcoa
1305,clpndcrn
1306,cmp
1307,cmpacna
1308,cmusa
1309,co
1310,co2
1311,coa
1312,coke
1313,coprost
1314,core2
1315,core3
1316,core4
1317,core5
1318,core6
1319,core7
1320,core8
1321,cortsn
1322,coucoa
1323,coumarin
1324,cpppg1
1325,cpppg3
1326,creat
1327,crglz
1328,crm_hs
1329,crmp_hs
1330,crn
1331,crtn
1332,crtsl
1333,crtstrn
1334,crvnc
1335,crvs
1336,crvsm1
1337,crvsm22
1338,crvsm23
1339,crvsm24
1340,crvsm31
1341,cs_a
1342,cs_a_b_e_pre1
1343,cs_a_b_pre2
1344,cs_a_b_pre3
1345,cs_a_deg1
1346,cs_a_deg2
1347,cs_a_deg3
1348,cs_a_deg4
1349,cs_a_deg5
1350,cs_b
1351,cs_b_deg1
1352,cs_b_deg2
1353,cs_b_deg3
1354,cs_b_pre4
1355,cs_b_pre5
1356,cs_c
1357,cs_c_d_e_pre1
1358,cs_c_deg1
1359,cs_c_deg2
1360,cs_c_deg3
1361,cs_c_deg4
1362,cs_c_deg5
1363,cs_c_pre2
1364,cs_c_pre3
1365,cs_d
1366,cs_d_deg1
1367,cs_d_deg2
1368,cs_d_deg3
1369,cs_d_deg4
1370,cs_d_deg5
1371,cs_d_deg6
1372,cs_d_pre2
1373,cs_d_pre3
1374,cs_d_pre4
1375,cs_d_pre5
1376,cs_e
1377,cs_e_deg1
1378,cs_e_deg2
1379,cs_e_deg3
1380,cs_e_deg4
1381,cs_e_deg5
1382,cs_e_deg6
1383,cs_e_deg7
1384,cs_e_pre2
1385,cs_e_pre3
1386,cs_e_pre4
1387,cs_e_pre5a
1388,cs_e_pre5b
1389,cs_hs_linkage
1390,cs_pre
1391,csa
1392,csasulp
1393,csn
1394,cspg_a
1395,cspg_b
1396,cspg_c
1397,cspg_d
1398,cspg_e
1399,ctdecdcoa
1400,ctp
1401,cvm1gluc
1402,cvm23gluc
1403,cyan
1404,cynt
1405,cys__L
1406,cysacmp
1407,cysam
1408,cysasnmet
1409,cysaspphe
1410,cyscys
1411,cysglnmet
1412,cysgluhis
1413,cysglutrp
1414,cysi__L
1415,cysleuthr
1416,cyssermet
1417,cyst__L
1418,cystyrasn
1419,cytd
1420,dad_2
1421,dadp
1422,dag_hs
1423,damp
1424,datp
1425,dc2coa
1426,dca
1427,dca24g
1428,dca3g
1429,dca3s
1430,dcacoa
1431,dcamp
1432,dcdp
1433,dchac
1434,dcholcoa
1435,dcmp
1436,dcsptn1
1437,dcsptn1coa
1438,dcsptn1crn
1439,dctp
1440,dcyt
1441,dd2coa
1442,dd3coa
1443,dd5ecoa
1444,ddca
1445,ddcacoa
1446,ddeccrn
1447,ddece1crn
1448,ddsmsterol
1449,debrisoquine
1450,dec24dicoa
1451,dec47dicoa
1452,decdicoa
1453,decdicrn
1454,decdp
1455,dece3coa
1456,dece4coa
1457,dectricoa
1458,dedol__L
1459,dedoldp__L
1460,dedolp__L
1461,dem2emgacpail_prot_hs
1462,deoxfvs
1463,desfvs
1464,dgchol
1465,dgcholcoa
1466,dgdp
1467,dgmp
1468,dgpi_prot_hs
1469,dgsn
1470,dgtp
1471,dha
1472,dhap
1473,dhbpt
1474,dhcholestanate
1475,dhcholestancoa
1476,dhcholoylcoa
1477,dhcrm_hs
1478,dhdascb
1479,dhea
1480,dheas
1481,dhf
1482,dhglz
1483,dhlam
1484,dhlpro
1485,dhmtp
1486,dhor__S
1487,didecaeth
1488,didp
1489,digalsgalside_hs
1490,digalside_hs
1491,diholineth
1492,dimp
1493,din
1494,ditp
1495,dkmpp
1496,dlnlcg
1497,dlnlcgcoa
1498,dlnlcgcrn
1499,dmantipyrine
1500,dmgly
1501,dmhptcoa
1502,dmhptcrn
1503,dmnoncoa
1504,dmnoncrn
1505,dmpp
1506,dnad
