gene,P_rep1,P_rep2,P_rep3,7dCI_rep1,7dCI_rep2,7dCI_rep3,,,,,
ROR2,318.5451833,206.0864226,327.946265,1789.553392,1013.087244,1550.731457,,,,,
PELI2,182.9940415,133.4086021,176.0131178,1007.646151,627.6544008,809.1986009,,,,,
UBA7,360.9049151,424.1198842,650.7325364,2959.142675,2756.375242,2255.292308,,,,,
OLFML2A,49.13728892,32.85435723,145.0531557,2296.648046,1513.442724,1084.047091,,,,,
MAN1A1,1187.76688,1493.379874,1056.078707,6561.150508,5705.466905,5248.629546,,,,,
MCM4,13097.62908,8617.79746,10180.66753,2219.765954,3389.333764,1716.756687,,,,,
TUBA1C,31183.54018,26421.87232,39408.0184,6132.573736,9370.614997,7509.502534,,,,,
DUSP2,130.467974,303.6539077,222.4530609,9.814735241,1.768040566,16.74204002,,,,,
MCM7,11830.2259,9663.163371,12613.31789,2528.112219,3136.503963,2209.949283,,,,,
PRR5L,459.179493,324.5612259,455.7994418,60.52420065,76.02574432,90.6860501,,,,,
C10orf54,384.626365,545.5814473,1022.825414,5344.123339,5240.472236,8929.785595,,,,,
LURAP1L,184.6884308,271.7951371,227.6130546,1032.182989,1158.06657,1281.463646,,,,,
FANCA,1221.654666,1512.296019,2020.997525,343.5157334,624.1183196,267.8726403,,,,,
TSHZ2,44.0541211,55.75284863,67.65325048,853.0640713,1753.896241,1055.446106,,,,,
PLK1,9546.189164,5199.948721,10235.13413,1095.160874,1566.483941,797.3396559,,,,,
EXOSC9,3763.238575,3271.497511,3034.076284,530.8135976,716.056429,822.4527159,,,,,
C7orf63,30.49900691,27.87642431,25.22663577,192.2052318,190.9483811,171.6059102,,,,,
RTTN,1535.116681,1458.534344,1824.344432,242.0968026,579.9173055,353.6755954,,,,,
E2F8,555.7596815,419.1419513,386.4261934,76.06419812,169.7318943,51.62129006,,,,,
MTHFR,532.0382317,612.2857483,620.9192395,3238.862629,3214.297748,2414.341688,,,,,
LIG1,2612.748259,1999.137858,3120.649511,568.4367494,818.6027818,491.7974256,,,,,
TNFRSF12A,8399.087626,6744.103511,10114.16095,1206.39454,1734.447795,2598.504128,,,,,
PARD3B,532.0382317,484.8506658,438.0261302,1684.044988,2500.00936,2607.572733,,,,,
KREMEN1,377.8488079,382.3052477,607.732589,3512.857322,3138.272004,1990.907592,,,,,
GMNN,1592.725917,1843.826351,1948.757613,327.1578414,546.3245347,394.1355254,,,,,
POC1A,1560.53252,1371.918311,2292.757192,372.9599391,546.3245347,288.1026053,,,,,
MCC,681.1444877,455.9786549,239.6530398,2030.014406,1628.365361,1750.240767,,,,,
REV3L,3636.15938,4069.95795,2209.050628,18300.39175,25862.89739,14792.98753,,,,,
MYO1D,1328.40119,1088.176135,1677.571279,10862.45823,6069.683261,7883.408094,,,,,
MCAM,1196.238827,722.795859,1070.985355,160.3073423,152.0514886,265.0823003,,,,,
CCDC146,25.41583909,24.88966457,20.06664209,180.7547073,136.1391235,147.8880202,,,,,
RASSF2,220.2706055,721.8002724,485.0394059,2676.151142,5102.565072,4566.391415,,,,,
GARNL3,20.33267128,12.94262557,20.63997472,160.3073423,93.70614997,137.4242452,,,,,
NUSAP1,6291.26737,4562.773308,6015.979299,1210.484013,2287.844492,872.678836,,,,,
ATAD2,5323.771096,6777.953455,4931.23396,1037.908252,2148.169287,1046.377501,,,,,
TYMS,2295.897465,2235.091878,2098.970763,476.8325538,1083.808867,237.8764853,,,,,
PFKP,10086.69934,11232.20783,12421.82479,1868.889169,2862.457676,3130.761484,,,,,
FMO4,32.19339619,55.75284863,52.74660207,329.6115252,281.1184499,250.4330153,,,,,
CCDC15,599.8138026,543.5902741,375.5328734,97.3294578,155.5875698,64.87540507,,,,,
CYP39A1,1.694389273,1.991173165,2.866663156,36.80525715,47.73709527,61.38748007,,,,,
FANCI,4210.557343,5227.825146,5072.84712,942.2145831,2070.375502,874.771591,,,,,
CDK2,3380.3066,3550.261754,3575.87562,679.6704154,1133.314003,742.9280258,,,,,
CENPN,3544.662359,4259.119401,4937.540619,776.1819786,1815.777661,874.074006,,,,,
TIMELESS,3842.874871,3492.517732,4897.980668,790.0861869,1386.143803,943.1349211,,,,,
TACC3,6015.081919,5182.028163,9184.788751,1135.23771,1768.040566,965.4576411,,,,,
ICAM1,128.7735847,83.62927294,131.2931725,651.8619989,694.8399423,477.8457255,,,,,
CDCA8,4108.893987,3746.392311,6716.018441,619.1462148,1158.06657,546.2090556,,,,,
WWC1,559.1484601,407.1949123,472.9994207,116.1410337,102.5463528,71.85125508,,,,,
CDCA4,1377.538479,1559.088588,1975.704247,310.7999493,401.3452084,436.6882105,,,,,
EZR,14927.56949,8791.029525,12465.39807,2244.302792,3166.560653,2888.001903,,,,,
GINS4,1670.667823,1496.366634,2097.250765,360.6915201,829.2110252,282.5219253,,,,,
TUBA1B,100295.9842,79684.7589,139689.6289,17960.1476,34345.95603,20331.11485,,,,,
HMMR,2497.529788,2882.223157,2230.263935,529.995703,1257.076842,310.4253254,,,,,
UBASH3B,7724.720695,6032.259104,5305.620169,2119.982812,1539.963333,657.1250707,,,,,
TMEM198B,125.3848062,209.0731824,145.0531557,899.6840637,767.3296054,668.2864308,,,,,
PRKG1,587.9530777,676.0032896,499.9460544,2628.713255,2867.761797,2412.248933,,,,,
CYBRD1,7333.316773,5400.061624,6839.85829,33321.84404,20173.34285,27811.31881,,,,,
