,upgenes
1547,TRNAU1AP
1548,TEX10
1549,AKT1
1550,PRPS2
1551,VPS4A
1552,HIPK2
1553,TMEM199
1554,NOP14
1555,PPYR1
1556,ARMC1
1557,IMPDH1
1558,SNORA67
1559,EIF3J
1560,POLR3A
1561,DDX23
1562,ETF1
1563,TRAF3IP3
1564,C11orf24
1565,FBL
1566,ZBED4
1567,RAE1
1568,SELT
1569,OGDH
1570,ZC3HC1
1571,C9orf114
1572,RAD9A
1573,ZNF365
1574,NDUFS1
1575,RNGTT
1576,GEMIN4
1577,PHRF1
1578,PPCDC
1579,SUPT16H
1580,C16orf57
1581,C7orf44
1582,SPRYD4
1583,MAP6D1
1584,GNB1
1585,NOL10
1586,PRPF31
1587,LIN54
1588,PGBD3
1589,AP1B1
1590,CALM1
1591,ZDHHC16
1592,C1orf124
1593,PARP1
1594,IRAK1
1595,ZDHHC18
1596,RBBP7
1597,CTNNAL1
1598,KPNA4
1599,TRAP1
1600,GNB4
1601,GYS1
1602,HNRPDL
1603,CDC14A
1604,CDC37
1605,FAM214B
1606,SRA1
1607,CD226
1608,SNORD88A
1609,DPY30
1610,RP2
1611,SELRC1
1612,FAM177A1
1613,FBF1
1614,SLC25A39
1615,DUSP12
1616,C7orf73
1617,SMYD5
1618,SUMO3
1619,UTP20
1620,POC5
1621,SMG9
1622,RFT1
1623,DDX55
1624,POLR2K
1625,GLI2
1626,MRPL53
1627,ZNF788
1628,PPP1CA
1629,NSFL1C
1630,GLOD4
1631,BMPER
1632,MRPL46
1633,CCT8
1634,HOMER1
1635,PPP6R1
1636,REP15
1637,HSP90AB1
1638,H1F0
1639,RNASEH2C
1640,C16orf88
1641,CDR2
1642,FCF1
1643,RBM15
1644,RBM12
1645,ARPC4
1646,PRKD1
1647,EEFSEC
1648,YWHAE
1649,ORC5
1650,MRPS2
1651,C14orf142
1652,POLH
1653,SF3B3
1654,SDHB
1655,UBA2
1656,PSMD7
1657,TBC1D1
1658,GTF3A
1659,DANCR
1660,BMS1
1661,SLC16A1
1662,AMIGO3
1663,GPR37
1664,ZNF587B
1665,PSTPIP2
1666,STARD3NL
1667,RCC2
1668,ALAS1
1669,FAM98B
1670,SRF
1671,HAUS1
1672,IQCC
1673,NFYA
1674,C12orf45
1675,GFM1
1676,DLL3
1677,USMG5
1678,SNAPC3
1679,CAPN12
1680,DHX9
1681,DRG1
1682,GTF2F2
1683,TTI2
1684,UBE3C
1685,FDXACB1
1686,TOR1B
1687,POU3F2
1688,PPP2CB
1689,WDR92
1690,DHRS2
1691,HIATL1
