,dwgenes
941,ZNF225
942,KLRA1P
943,AC141557.1
944,AC010186.3
945,AC011604.2
946,TMPO-AS1
947,AL132780.1
948,AC079385.1
949,G2E3-AS1
950,P2RX5-TAX1BP3
951,AC125611.3
952,TESC-AS1
953,PPT2-EGFL8
954,AL139011.2
955,LINC00239
956,AC068896.1
957,LINC01269
958,AL122035.1
959,
960,AL359397.1
961,AL049872.1
962,AC027237.2
963,ANKRD34C-AS1
964,MIR4713HG
965,BUB1B-PAK6
966,AC103739.2
967,AC021231.1
968,AC091117.2
969,AC079203.2
970,AC023355.1
971,ANP32AP1
972,AC048382.4
973,AC073167.1
974,AC243562.3
975,AC009113.1
976,AC109449.1
977,AL050341.2
978,AC009120.2
979,AC093752.3
980,AC012435.1
981,AC093249.2
982,HEXA-AS1
983,AC012414.5
984,LINC02256
985,SPINT1-AS1
986,AL136038.3
987,AC002550.1
988,LINC01355
989,AC009167.1
990,
991,AC136443.4
992,AC099518.5
993,AC006058.1
994,GOLGA8H
995,AC007406.5
996,AC008914.1
997,TMEM256-PLSCR3
998,AJ003147.2
999,LINC00909
1000,AC138696.1
1001,
1002,GLUD1P2
1003,AC093484.3
1004,AC009084.1
1005,RNF115
1006,AC080112.1
1007,AP001381.1
1008,AC061992.1
1009,AC008507.2
1010,AC002398.1
1011,AC018761.2
1012,TRMT112P6
1013,AC011503.1
1014,AC011497.2
1015,AC010618.3
1016,AC020913.2
1017,TMEM185A
1018,AP001350.1
1019,AC008760.1
1020,AC093525.7
1021,
1022,AL121758.1
1023,AL035413.2
1024,AC114490.2
1025,AL118558.3
1026,AC091826.2
1027,AC021321.1
1028,U47924.1
1029,AC093297.2
1030,AL031775.1
1031,AC135457.1
1032,AL390726.3
1033,AC093668.2
1034,AL390726.5
1035,AC007378.1
1036,AL049839.2
1037,AC078846.1
1038,AC064836.3
1039,HIST1H4K
1040,ZNHIT3
1041,AC005258.1
1042,CU633967.1
1043,H2BFS
1044,SPDYE10P
1045,AC243732.1
1046,HIST1H2AH
1047,HIST1H4L
1048,AC006001.4
1049,FP565260.1
1050,TADA2A
1051,HIST1H2AJ
1052,AL590491.2
1053,AC142472.1
1054,CU634019.1
1055,F8A3
1056,HIST1H4D
1057,PCGF2
1058,AL138966.2
1059,AC010654.1
1060,
1061,
1062,
1063,C17orf78
1064,DHRS11
1065,HIST1H2BI
1066,BX004987.1
1067,AC020765.4
1068,AL358852.1
1069,EPB41L4A-AS2
1070,AC126474.1
1071,RN7SKP23
1072,TMEM75
1073,AL022393.1
1074,AP000648.3
1075,
1076,
1077,
1078,
1079,LINC00706
1080,
1081,LINC01012
1082,AL732314.6
1083,AL512506.3
1084,WASH5P
1085,AL358790.1
1086,AC010642.2
